UNIQUE_CARRIER_NAME,YEAR,QUARTER,Overall - OP_EXPENSES,Overall - OP_PROFIT_LOSS,Overall - OP_REVENUES,Rev - CHARTER_PAX,Rev - CHARTER_PROP,Rev - MAIL,Rev - MISC_OP_REV,Rev - PROP_BAG,Rev - PROP_FREIGHT,Rev - PUB_SVC_REVENUE,Rev - RES_CANCEL_FEES,Rev - TOTAL_CHARTER,Rev - TOTAL_MISC_REV,Rev - TOTAL_PROPERTY,Rev - TRANS_REVENUE,Rev - TRANS_REV_PAX,Exp - AIRCFT_SERVICES,Exp - FLYING_OPS,Exp - GENERAL_ADMIN,Exp - GENERAL_SERVICES,Exp - MAINTENANCE,Exp - PAX_SERVICE,Exp - PROMOTION_SALES,Exp - TRANS_EXPENSES
         Federal Express Corporation         ,2018-01-01T00:00:00Z,3,2637477,-642362,1995115,NA,14917,193,9149,NA,452881,NA,NA,NA,NA,NA,1517975,NA,263968,197597,147051,NA,93235,NA,38996,1851058
           American Airlines Inc.            ,2009-01-01T00:00:00Z,1,3112801,-222557,2890244,1183,NA,16543,10567,65583,29149,NA,70290,1183,80857,94732,466197,2230732,538149,1088230,250808,NA,343838,242390,199814,320173
            United Air Lines Inc.            ,2008-01-01T00:00:00Z,2,3645757,-232398,3413359,5361,NA,8019,7509,12656,45320,NA,92926,5361,100435,57976,941628,2299940,360066,1278491,241558,NA,366917,191104,197196,890085
           American Airlines Inc.            ,2004-01-01T00:00:00Z,3,3235580,-244731,2990849,2842,NA,12209,16312,10880,31839,NA,NA,2842,16312,42719,463311,2453456,521470,1111171,146903,NA,358319,319819,275318,322416
            United Air Lines Inc.            ,2005-01-01T00:00:00Z,2,800244,13044,813288,NA,NA,10380,2755,2305,75908,NA,68,NA,2823,78213,55781,666091,89057,327514,44351,NA,80227,107476,73060,34362
            Delta Air Lines Inc.             ,2003-01-01T00:00:00Z,4,3176090,-199259,2976831,17201,NA,20573,103503,13675,44141,NA,245,17201,103748,57816,210260,2567233,473008,883573,154285,NA,227524,284292,238998,699544
            United Air Lines Inc.            ,2004-01-01T00:00:00Z,3,3040536,-216458,2824078,3680,NA,11055,12328,6228,30092,NA,64688,3680,77016,36320,667157,2028850,439364,828132,123144,NA,334519,236016,237828,706285
           American Airlines Inc.            ,2012-01-01T00:00:00Z,3,3728482,-161533,3566949,2421,0,933,10902,78021,30847,0,72916,NA,NA,NA,603975,2766934,462725,1453422,482661,NA,326730,245145,209464,445818
           American Airlines Inc.            ,2009-01-01T00:00:00Z,3,3286736,-239530,3047206,3536,NA,10002,12881,72110,26895,NA,72670,3536,85551,99005,508570,2340542,548649,1174493,295563,NA,357302,240954,206387,335881
         Federal Express Corporation         ,2017-01-01T00:00:00Z,2,2441458,-454867,1986591,NA,8486,71,1729,NA,429917,NA,NA,NA,NA,NA,1546388,NA,233136,138066,111707,NA,76118,NA,31089,1810973
            Delta Air Lines Inc.             ,2004-01-01T00:00:00Z,4,3486902,-524427,2962475,18148,NA,11124,99462,14137,50604,NA,356,18148,99818,64741,774714,1993930,487419,1095997,176573,NA,241734,278433,220061,772828
            Delta Air Lines Inc.             ,2009-01-01T00:00:00Z,1,1014343,-231833,782510,0,0,5920,9854,2553,42881,0,17253,NA,NA,NA,68800,635249,98416,482493,24997,NA,67682,55879,46292,177599
            United Air Lines Inc.            ,2011-01-01T00:00:00Z,4,3333975.44,-246605.37,3087370.06,6662.47,0,11675.73,6423.18,56074.53,36539.17,0,74093.14,NA,NA,NA,1193315.3,1702586.56,424812.83,878730.66,343738.59,NA,340713.89,150744.39,145319.29,932210.28
            United Air Lines Inc.            ,2009-01-01T00:00:00Z,1,2571103,-134184,2436919,4836,NA,8839,5400,53500,24326,NA,75882,4836,81282,77826,784118,1480018,367954,674620,114566,NA,302013,149433,138355,704164
           American Airlines Inc.            ,2009-01-01T00:00:00Z,4,3372104,-355568,3016536,6266,NA,10573,12248,78525,30119,NA,63218,6266,75466,108644,511520,2304067,540206,1189174,394156,NA,343075,241209,189024,340430
           American Airlines Inc.            ,2003-01-01T00:00:00Z,4,3420110,-415812,3004298,4754,NA,11761,16726,12420,37707,NA,NA,4754,16726,50127,421608,2499322,576065,963440,449955,NA,317112,340126,274455,284344
            United Air Lines Inc.            ,2012-01-01T00:00:00Z,3,5723095.26,-155971.44,5567123.82,47039.07,0,19366.08,7630.9,79820.74,47054.79,0,85981.39,NA,NA,NA,2002067.64,3278163.21,664713.99,1707085.36,525079.9,NA,462153.25,277382.62,211787.76,1679035.28
           American Airlines Inc.            ,2003-01-01T00:00:00Z,2,3488693,-424891,3063802,4319,NA,17545,15404,11249,33840,NA,NA,4319,15404,45089,433212,2548233,608620,1020931,350673,NA,349588,377908,286348,285229
         Federal Express Corporation         ,2019-01-01T00:00:00Z,2,1391846,-273748,1118098,NA,197,436,24002,NA,467875,NA,NA,NA,NA,NA,625588,NA,187679,253729,128887,NA,88117,NA,31425,643921
           American Airlines Inc.            ,2003-01-01T00:00:00Z,3,3300480,-195934,3104546,2030,NA,13180,18112,10930,32526,NA,NA,2030,18112,43456,422404,2605364,584486,993469,267615,NA,339529,348545,281301,276732
            United Air Lines Inc.            ,2004-01-01T00:00:00Z,2,2823259,-125850,2697409,901,NA,12451,12709,6568,27484,NA,70474,901,83183,34052,491213,2075609,440140,763143,103133,NA,341096,236028,253151,546403
           American Airlines Inc.            ,2005-01-01T00:00:00Z,3,3588805,-184523,3404282,3714,NA,11361,15881,12025,32441,NA,NA,3714,15881,44466,534312,2794548,558511,1373800,161873,NA,396366,293843,270285,380803
         Federal Express Corporation         ,2013-01-01T00:00:00Z,2,1099939,-352369,747570,NA,4099,43,2984,NA,481506,NA,NA,NA,NA,NA,258939,NA,237190,195063,147687,NA,56927,NA,33342,392719
            Delta Air Lines Inc.             ,2011-01-01T00:00:00Z,1,1452666,-223383,1229283,0,0,10476,47267,0,86052,0,30351,NA,NA,NA,66016,989121,193295,652217,18041,NA,106887,92438,83733,233140
            United Air Lines Inc.            ,2003-01-01T00:00:00Z,3,2592610,1084,2593694,3933,NA,23736,21353,6834,23097,NA,63113,3933,84466,29931,413311,2038317,461264,659723,106613,NA,314672,228229,233478,436630
            United Air Lines Inc.            ,2013-01-01T00:00:00Z,1,5193196,-170898,5022297,24626,0,16201,5923,68628,52137,0,87860,NA,NA,NA,1882613,2884309,684387,1595241,305124,NA,396784,258113,160036,1586795
         Federal Express Corporation         ,2018-01-01T00:00:00Z,3,1395554,-273177,1122377,NA,953,890,10372,NA,494279,NA,NA,NA,NA,NA,615883,NA,179522,261305,134178,NA,91153,NA,27583,646846
            United Air Lines Inc.            ,2008-01-01T00:00:00Z,3,1081282,-205989,875293,13174,NA,7291,1473,3551,60804,NA,123,13174,1596,64355,48091,740786,105419,678819,47903,NA,73662,84351,40973,9056
            Delta Air Lines Inc.             ,2004-01-01T00:00:00Z,2,602929,27230,630159,NA,NA,4535,-12293,629,45511,NA,1104,NA,-11189,46140,56466,534207,92153,233466,35441,NA,44379,55446,52111,43909
            Delta Air Lines Inc.             ,2002-01-01T00:00:00Z,1,2626055,-262356,2363699,7185,NA,20060,104310,5916,44520,NA,-1126,7185,103184,50436,119728,2063106,499269,730953,212577,NA,257302,283570,300896,135858
           American Airlines Inc.            ,2013-01-01T00:00:00Z,4,1378236,276525,1654761,3719,0,4673,4760,31389,54552,0,30689,NA,NA,NA,290248,1234731,166666,531415,123024,NA,133895,112856,89059,168867
           American Airlines Inc.            ,2012-01-01T00:00:00Z,1,735089,-80411,654678,0,0,4670,1992,14390,44470,0,13160,NA,NA,NA,105457,470539,68866,295142,59294,NA,75835,72041,36593,92835
            United Air Lines Inc.            ,2002-01-01T00:00:00Z,4,777726,-147512,630214,265,NA,14712,2826,1090,74381,NA,68,265,2894,75471,71804,465068,94218,249597,60192,NA,72884,128025,67426,58725
           American Airlines Inc.            ,2013-01-01T00:00:00Z,4,850342,29025,879367,0,0,6819,2466,16257,48109,0,15895,NA,NA,NA,150326,639495,85710,331244,74210,NA,83649,85643,42452,109830
